X,Y,Universe,Channel,Name
88,43,4,66,"RGB_light #0265"
88,45,4,69,"RGB_light #0266"
88,46,4,72,"RGB_light #0267"
88,47,4,75,"RGB_light #0268"
88,49,4,78,"RGB_light #0269"
87,42,4,0,"RGB_light #0270"
87,46,4,3,"RGB_light #0271"
87,47,4,6,"RGB_light #0272"
87,48,4,9,"RGB_light #0273"
87,50,4,12,"RGB_light #0274"
86,49,4,15,"RGB_light #0275"
86,47,4,18,"RGB_light #0276"
86,46,4,21,"RGB_light #0277"
86,45,4,24,"RGB_light #0278"
86,43,4,27,"RGB_light #0279"
85,42,4,30,"RGB_light #0280"
85,44,4,33,"RGB_light #0281"
85,46,4,36,"RGB_light #0282"
85,47,4,39,"RGB_light #0283"
85,48,4,42,"RGB_light #0284"
85,50,4,45,"RGB_light #0285"
84,51,4,48,"RGB_light #0286"
84,49,4,51,"RGB_light #0287"
84,47,4,54,"RGB_light #0288"
84,46,4,57,"RGB_light #0289"
84,45,4,60,"RGB_light #0290"
84,43,4,63,"RGB_light #0291"
83,42,3,120,"RGB_light #0292"
83,44,3,123,"RGB_light #0293"
83,46,3,126,"RGB_light #0294"
83,47,3,129,"RGB_light #0295"
83,48,3,132,"RGB_light #0296"
83,50,3,135,"RGB_light #0297"
82,51,3,138,"RGB_light #0298"
82,49,3,141,"RGB_light #0299"
82,47,3,144,"RGB_light #0300"
82,46,3,147,"RGB_light #0301"
82,45,3,150,"RGB_light #0302"
82,43,3,153,"RGB_light #0303"
81,44,3,156,"RGB_light #0304"
81,46,3,159,"RGB_light #0305"
81,47,3,162,"RGB_light #0306"
81,48,3,165,"RGB_light #0307"
81,50,3,168,"RGB_light #0308"
80,51,3,171,"RGB_light #0309"
79,50,3,174,"RGB_light #0310"
80,49,3,177,"RGB_light #0311"
80,46,3,180,"RGB_light #0312"
80,47,3,183,"RGB_light #0313"
64,0,6,294,"RGB_light #0314"
63,0,6,297,"RGB_light #0315"
67,1,6,282,"RGB_light #0316"
66,1,6,285,"RGB_light #0317"
65,1,6,288,"RGB_light #0318"
64,1,6,291,"RGB_light #0319"
64,2,6,270,"RGB_light #0320"
65,2,6,273,"RGB_light #0321"
66,2,6,276,"RGB_light #0322"
67,2,6,279,"RGB_light #0323"
66,3,6,261,"RGB_light #0324"
65,3,6,264,"RGB_light #0325"
64,3,6,267,"RGB_light #0326"
64,4,6,252,"RGB_light #0327"
65,4,6,255,"RGB_light #0328"
66,4,6,258,"RGB_light #0329"
66,5,6,243,"RGB_light #0330"
65,5,6,246,"RGB_light #0331"
64,5,6,249,"RGB_light #0332"
